Function,Std dev Standard,Std dev % Standard,Std dev Recon,Std dev % Recon
getElongationFeatureValue,0.20928120689020618,66.72395056955077,0.2980114545865029,117.40101442930136
getMajorAxisLengthFeatureValue,150.96041477968248,77.1637478386665,228.84979657446175,53.433657358903595
getMaximumDiameterFeatureValue,106.96295965269358,69.87144138463992,244.60810752453025,64.24000814241275
getMeshSurfaceFeatureValue,224.1562513069845,57.48333153147443,79005.97899964069,148.77328572880813
getMinorAxisLengthFeatureValue,86.43199000537685,135.7631691259863,184.86720794894296,134.63488150017707
getPerimeterFeatureValue,94.03794168255914,53.77139752353889,3910.8357837315743,120.7623966403135
getPerimeterSurfaceRatioFeatureValue,0.1211480162809892,25.77697409694657,0.5248367246058551,83.67772744916037
getPixelSurfaceFeatureValue,224.86047525817725,57.4649821768917,78997.96099084527,148.75076446844758
getSphericalDisproportionFeatureValue,0.7226318129121188,29.25052090558866,2.234053267458016,47.593313132911746
getSphericityFeatureValue,0.14189721217772042,32.248679352048434,0.14674041863422985,54.11080416000441
